iter	MultiClass
0	2.018202576
1	1.878630266
2	1.775695458
3	1.677959397
4	1.581007372
5	1.503712489
6	1.445220614
7	1.382890315
8	1.324476005
9	1.28325422
10	1.241426525
11	1.200298381
12	1.165648577
13	1.127607529
14	1.096939708
15	1.062383111
16	1.039865816
17	1.008548234
18	0.9811761116
19	0.957466898
20	0.9319654913
21	0.9154273863
22	0.8953975245
23	0.8753200631
24	0.8560088414
25	0.840792998
26	0.8228559258
27	0.8188751006
28	0.803786505
29	0.7901298498
30	0.7785761334
31	0.7646422736
32	0.7543506462
33	0.7423232965
34	0.7331115841
35	0.7237225572
36	0.7138205615
37	0.7047280972
38	0.695002314
39	0.6887413175
40	0.682668032
41	0.6771974808
42	0.6706467868
43	0.6662244422
44	0.659665173
45	0.6538110878
46	0.6467880636
47	0.641287634
48	0.6387458442
49	0.6343713635
50	0.6310671225
51	0.62708169
52	0.6219694573
53	0.6184187751
54	0.6154774914
55	0.6100140912
56	0.6038832762
57	0.5988444823
58	0.5956512395
59	0.5901325951
60	0.5850451549
61	0.5823493152
62	0.5793795284
63	0.5767479588
64	0.5758693366
65	0.5727736674
66	0.5693341624
67	0.5655264715
68	0.5649209815
69	0.5643022096
70	0.5606269611
71	0.5577432569
72	0.5547341996
73	0.551635991
74	0.5503373573
75	0.5481181969
76	0.5454005095
77	0.5435433743
78	0.5413913209
79	0.5387682842
80	0.5368930262
81	0.5354675747
82	0.5342664528
83	0.5331292091
84	0.532215171
85	0.5305438499
86	0.5291440061
87	0.5268663625
88	0.5251421624
89	0.5237226992
90	0.5226566908
91	0.5223047687
92	0.5218634828
93	0.5207266227
94	0.5199286893
95	0.517692289
96	0.5160644636
97	0.5140877808
98	0.5128630622
99	0.5111742422
100	0.5097996122
101	0.5080551466
102	0.5078898416
103	0.5070818267
104	0.5061056918
105	0.5053237141
106	0.5040918684
107	0.5033374348
108	0.501718473
109	0.5004545804
110	0.4982415249
111	0.4966529147
112	0.4956595658
113	0.4949489851
114	0.4941110005
115	0.4930660449
116	0.4915763261
117	0.4901884903
118	0.4885986985
119	0.485504418
120	0.4848692562
121	0.4836137502
122	0.4823174902
123	0.480932334
124	0.4809288873
125	0.4808345223
126	0.480037829
127	0.478833766
128	0.4784079143
129	0.4777119024
130	0.4776679109
131	0.47706215
132	0.4751633624
133	0.47472044
134	0.4734498516
135	0.4723902951
136	0.4720376179
137	0.4708844773
138	0.4704783961
139	0.4692916298
140	0.4680299441
141	0.4660181035
142	0.4651873569
143	0.4639037187
144	0.4626611526
145	0.4618282589
146	0.460910539
147	0.4601497907
148	0.4596731788
149	0.4584848385
150	0.4573705491
151	0.4559254148
152	0.4546813754
153	0.4536844645
154	0.4519806561
155	0.4512259216
156	0.4502202767
157	0.4494350498
158	0.448453064
159	0.4475748615
160	0.4462807719
161	0.445447735
162	0.44479222
163	0.4438623726
164	0.4423426591
165	0.4408140761
166	0.4396828761
167	0.4387446082
168	0.4377814219
169	0.4369667018
170	0.4358388101
171	0.4336281943
172	0.4326884635
173	0.4321651424
174	0.4311899589
175	0.4300214157
176	0.4294677991
177	0.4290990139
178	0.4278164164
179	0.4270954563
180	0.4264617042
181	0.4251880455
182	0.424370241
183	0.4235973238
184	0.4227616296
185	0.4220909162
186	0.4214160354
187	0.4205602589
188	0.4192684901
189	0.4180811783
190	0.4171978571
191	0.4157645967
192	0.4145999571
193	0.413820859
194	0.4134314161
195	0.4127103209
196	0.4120596218
197	0.4111485053
198	0.4103251669
199	0.4098168866
200	0.4085130235
201	0.4078053523
202	0.407251683
203	0.4066535566
204	0.4057708457
205	0.4051446159
206	0.4043335882
207	0.4030009157
208	0.402252739
209	0.4017753701
210	0.4013405654
211	0.4007014442
212	0.399349811
213	0.3975547871
214	0.3969475603
215	0.3961812279
216	0.394476358
217	0.3940447905
218	0.3935692147
219	0.3931128585
220	0.3924368996
221	0.3920500705
222	0.3906390747
223	0.3901562578
224	0.3893717826
225	0.3885731668
226	0.3877632848
227	0.3872654472
228	0.3865721946
229	0.3863825295
230	0.3856638057
231	0.3847140969
232	0.3841878682
233	0.3834262303
234	0.3829063132
235	0.3821333674
236	0.3812558393
237	0.3809780421
238	0.3804165086
239	0.380016159
240	0.3788223203
241	0.3776546122
242	0.3771579088
243	0.3762139647
244	0.3754558476
245	0.3750679528
246	0.3746075966
247	0.3742719586
248	0.3739445902
249	0.3727004447
