iter	Passed	Remaining
0	54	54182
1	113	56685
2	194	64539
3	264	65820
4	340	67800
5	411	68234
6	491	69725
7	558	69253
8	624	68709
9	683	67696
10	744	66925
11	816	67190
12	879	66739
13	933	65747
14	992	65157
15	1053	64803
16	1110	64221
17	1170	63882
18	1230	63538
19	1292	63320
20	1361	63471
21	1420	63145
22	1491	63370
23	1555	63256
24	1617	63087
25	1682	63037
26	1749	63040
27	1768	61402
28	1824	61088
29	1895	61275
30	1981	61943
31	2046	61902
32	2125	62284
33	2192	62280
34	2265	62456
35	2330	62416
36	2417	62913
37	2506	63460
38	2577	63503
39	2649	63595
40	2687	62855
41	2757	62890
42	2816	62684
43	2877	62511
44	2946	62535
45	3007	62379
46	3085	62556
47	3157	62628
48	3250	63087
49	3311	62927
50	3356	62457
51	3418	62323
52	3493	62414
53	3567	62489
54	3650	62729
55	3725	62800
56	3787	62659
57	3875	62940
58	3901	62231
59	3964	62105
60	4035	62117
61	4102	62065
62	4192	62352
63	4269	62448
64	4330	62288
65	4391	62150
66	4468	62219
67	4534	62144
68	4598	62048
69	4697	62411
70	4768	62394
71	4825	62197
72	4889	62095
73	4948	61920
74	5006	61748
75	5065	61586
76	5134	61541
77	5210	61593
78	5336	62211
79	5407	62189
80	5451	61852
81	5529	61902
82	5603	61911
83	5681	61953
84	5749	61894
85	5822	61880
86	5882	61731
87	5963	61808
88	6041	61839
89	6106	61742
90	6200	61933
91	6265	61836
92	6320	61643
93	6393	61626
94	6481	61746
95	6560	61779
96	6646	61875
97	6727	61923
98	6790	61802
99	6858	61724
100	6943	61800
101	7016	61769
102	7106	61892
103	7185	61909
104	7255	61844
105	7323	61764
106	7394	61712
107	7474	61730
108	7537	61614
109	7606	61540
110	7673	61455
111	7782	61707
112	7843	61565
113	7914	61508
114	7996	61538
115	8075	61542
116	8150	61511
117	8200	61295
118	8275	61269
119	8335	61125
120	8390	60949
121	8455	60851
122	8524	60777
123	8604	60788
124	8620	60341
125	8687	60257
126	8752	60162
127	8824	60118
128	8921	60237
129	9007	60281
130	9047	60015
131	9101	59849
132	9190	59908
133	9276	59953
134	9347	59894
135	9421	59853
136	9506	59880
137	9581	59848
138	9642	59724
139	9711	59654
140	9809	59760
141	9924	59963
142	9980	59814
143	10074	59888
144	10151	59860
145	10211	59732
146	10288	59703
147	10353	59604
148	10419	59512
149	10497	59483
150	10567	59417
151	10651	59423
152	10732	59415
153	10804	59355
154	10884	59336
155	10976	59386
156	11036	59259
157	11102	59168
158	11182	59148
159	11275	59196
160	11369	59245
161	11443	59196
162	11531	59214
163	11610	59183
164	11678	59098
165	11744	59004
166	11815	58937
167	11896	58913
168	11967	58846
169	12046	58817
170	12143	58873
171	12225	58852
172	12306	58830
173	12366	58706
174	12437	58635
175	12501	58529
176	12565	58428
177	12636	58355
178	12705	58273
179	12836	58478
180	12921	58466
181	12990	58384
182	13069	58350
183	13175	58432
184	13256	58398
185	13339	58378
186	13402	58269
187	13487	58256
188	13584	58291
189	13656	58218
190	13737	58188
191	13841	58250
192	13909	58160
193	13989	58123
194	14071	58091
195	14139	57999
196	14236	58028
197	14312	57972
198	14392	57932
199	14466	57865
200	14542	57807
201	14606	57701
202	14679	57632
203	14739	57512
204	14814	57453
205	14879	57351
206	14952	57280
207	15044	57283
208	15128	57257
209	15191	57149
210	15259	57059
211	15337	57008
212	15418	56967
213	15493	56906
214	15559	56808
215	15632	56739
216	15702	56658
217	15779	56602
218	15856	56548
219	15937	56504
220	16012	56443
221	16082	56360
222	16147	56262
223	16222	56199
224	16296	56133
225	16372	56071
226	16441	55987
227	16523	55946
228	16593	55867
229	16667	55801
230	16735	55712
231	16797	55604
232	16856	55487
233	16931	55426
234	16992	55316
235	17060	55230
236	17121	55119
237	17192	55044
238	17274	55003
239	17349	54941
240	17411	54834
241	17474	54732
242	17536	54628
243	17608	54556
244	17670	54452
245	17735	54359
246	17807	54286
247	17894	54260
248	17964	54183
249	18037	54112
250	18119	54068
251	18191	53998
252	18256	53903
253	18329	53833
254	18400	53759
255	18479	53707
256	18568	53683
257	18649	53634
258	18727	53578
259	18804	53520
260	18875	53444
261	18947	53370
262	19025	53314
263	19098	53244
264	19159	53141
265	19223	53044
266	19286	52947
267	19347	52845
268	19427	52793
269	19492	52702
270	19556	52606
271	19632	52546
272	19707	52481
273	19773	52392
274	19850	52333
275	19912	52233
276	19974	52136
277	20036	52037
278	20111	51973
279	20185	51904
280	20249	51813
281	20316	51727
282	20389	51658
283	20455	51570
284	20517	51472
285	20580	51378
286	20667	51345
287	20742	51281
288	20806	51189
289	20880	51122
290	20945	51032
291	21054	51049
292	21127	50980
293	21207	50927
294	21301	50907
295	21391	50877
296	21453	50781
297	21509	50670
298	21571	50574
299	21640	50493
300	21717	50432
301	21801	50389
302	21884	50340
303	21959	50275
304	22036	50213
305	22106	50136
306	22178	50065
307	22254	50000
308	22339	49956
309	22421	49905
310	22489	49823
311	22558	49743
312	22663	49743
313	22767	49739
314	22844	49677
315	22926	49625
316	22987	49527
317	23054	49443
318	23127	49373
